Dates,Volume
1/1/2019,80
1/2/2019,1210
1/3/2019,1118
1/4/2019,1066
1/5/2019,24
1/6/2019,18
1/7/2019,1366
1/8/2019,1184
1/9/2019,997
1/10/2019,1119
1/11/2019,1053
1/12/2019,37
1/13/2019,17
1/14/2019,1274
1/15/2019,1135
1/16/2019,1102
1/17/2019,1063
1/18/2019,1021
1/19/2019,50
1/20/2019,12
1/21/2019,1060
1/22/2019,1103
1/23/2019,1158
1/24/2019,1098
1/25/2019,1058
1/26/2019,46
1/27/2019,16
1/28/2019,1286
1/29/2019,1104
1/30/2019,955
1/31/2019,1021
2/1/2019,1112
2/2/2019,48
2/3/2019,14
2/4/2019,1405
2/5/2019,1145
2/6/2019,940
2/7/2019,965
2/8/2019,1014
2/9/2019,49
2/10/2019,13
2/11/2019,1299
2/12/2019,1009
2/13/2019,1028
2/14/2019,954
2/15/2019,1024
2/16/2019,35
2/17/2019,19
2/18/2019,1022
2/19/2019,1116
2/20/2019,1094
2/21/2019,1110
2/22/2019,1036
2/23/2019,26
2/24/2019,19
2/25/2019,1399
2/26/2019,1178
2/27/2019,1114
2/28/2019,1105
3/1/2019,1112
3/2/2019,53
3/3/2019,18
3/4/2019,1284
3/5/2019,1270
3/6/2019,1018
3/7/2019,1083
3/8/2019,1056
3/9/2019,35
3/10/2019,21
3/11/2019,1312
3/12/2019,1144
3/13/2019,1003
3/14/2019,1060
3/15/2019,1001
3/16/2019,43
3/17/2019,18
3/18/2019,1161
3/19/2019,1125
3/20/2019,1077
3/21/2019,1016
3/22/2019,1073
3/23/2019,31
3/24/2019,11
3/25/2019,1431
3/26/2019,1122
3/27/2019,1124
3/28/2019,1188
3/29/2019,1214
3/30/2019,53
3/31/2019,15
4/1/2019,1502
4/2/2019,1210
4/3/2019,1218
4/4/2019,1076
4/5/2019,1030
4/6/2019,47
4/7/2019,18
4/8/2019,1371
4/9/2019,1202
4/10/2019,1102
4/11/2019,1023
4/12/2019,1080
4/13/2019,42
4/14/2019,18
4/15/2019,1434
4/16/2019,1179
4/17/2019,1075
4/18/2019,1137
4/19/2019,807
4/20/2019,42
4/21/2019,13
4/22/2019,1321
4/23/2019,1242
4/24/2019,1074
4/25/2019,1063
4/26/2019,1011
4/27/2019,45
4/28/2019,16
4/29/2019,1611
4/30/2019,1223
5/1/2019,1274
5/2/2019,1166
5/3/2019,1109
5/4/2019,37
5/5/2019,23
5/6/2019,1426
5/7/2019,1147
5/8/2019,1095
5/9/2019,1128
5/10/2019,1203
5/11/2019,23
5/12/2019,17
5/13/2019,1374
5/14/2019,1258
5/15/2019,1184
5/16/2019,1182
5/17/2019,1044
5/18/2019,25
5/19/2019,32
5/20/2019,1463
5/21/2019,1283
5/22/2019,1143
5/23/2019,1181
5/24/2019,1168
5/25/2019,41
5/26/2019,11
5/27/2019,198
5/28/2019,1367
5/29/2019,1282
5/30/2019,1254
5/31/2019,1234
6/1/2019,58
6/2/2019,19
6/3/2019,1647
6/4/2019,1263
6/5/2019,1150
6/6/2019,1250
6/7/2019,1094
6/8/2019,52
6/9/2019,14
6/10/2019,1474
6/11/2019,1201
6/12/2019,1237
6/13/2019,1166
6/14/2019,1231
6/15/2019,53
6/16/2019,28
6/17/2019,1658
6/18/2019,1376
6/19/2019,953
6/20/2019,1487
6/21/2019,1650
6/22/2019,1322
6/23/2019,20
6/24/2019,1527
6/25/2019,1455
6/26/2019,2407
6/27/2019,1967
6/28/2019,2082
6/29/2019,554
6/30/2019,31
7/1/2019,1603
7/2/2019,1897
7/3/2019,1978
7/4/2019,1790
7/5/2019,1370
7/6/2019,99
7/7/2019,30
7/8/2019,1749
7/9/2019,1802
7/10/2019,1797
7/11/2019,1939
7/12/2019,2523
7/13/2019,968
7/14/2019,25
7/15/2019,2046
7/16/2019,2317
7/17/2019,2271
7/18/2019,2114
7/19/2019,1838
7/20/2019,73
7/21/2019,30
7/22/2019,2093
7/23/2019,2324
7/24/2019,1917
7/25/2019,2049
7/26/2019,2050
7/27/2019,116
7/28/2019,27
7/29/2019,2293
7/30/2019,2133
7/31/2019,2172
8/1/2019,2266
8/2/2019,2168
8/3/2019,58
8/4/2019,25
8/5/2019,2307
8/6/2019,1964
8/7/2019,2143
8/8/2019,1844
8/9/2019,1864
8/10/2019,84
8/11/2019,25
8/12/2019,2109
8/13/2019,1601
8/14/2019,1596
8/15/2019,1542
8/16/2019,1956
8/17/2019,74
8/18/2019,20
8/19/2019,2376
8/20/2019,2250
8/21/2019,2144
8/22/2019,1966
8/23/2019,1726
8/24/2019,101
8/25/2019,15
8/26/2019,2321
8/27/2019,2132
8/28/2019,2135
8/29/2019,1936
8/30/2019,1949
8/31/2019,60
9/1/2019,23
9/2/2019,414
9/3/2019,2051
9/4/2019,2135
9/5/2019,1869
9/6/2019,1918
9/7/2019,73
9/8/2019,17
9/9/2019,2057
9/10/2019,1968
9/11/2019,1965
9/12/2019,2085
9/13/2019,1784
9/14/2019,50
9/15/2019,20
9/16/2019,1978
9/17/2019,2094
9/18/2019,1771
9/19/2019,1911
9/20/2019,2054
9/21/2019,142
9/22/2019,22
9/23/2019,2244
9/24/2019,1907
9/25/2019,2100
9/26/2019,1909
9/27/2019,1777
9/28/2019,111
9/29/2019,52
9/30/2019,2156
10/1/2019,2087
10/2/2019,1883
10/3/2019,2018
10/4/2019,1748
10/5/2019,60
10/6/2019,35
10/7/2019,1778
10/8/2019,1507
10/9/2019,2436
10/10/2019,1734
10/11/2019,2021
10/12/2019,197
10/13/2019,34
10/14/2019,2121
10/15/2019,1779
10/16/2019,1621
10/17/2019,1594
10/18/2019,1917
10/19/2019,115
10/20/2019,51
10/21/2019,1906
10/22/2019,1907
10/23/2019,1772
10/24/2019,1680
10/25/2019,1535
10/26/2019,39
10/27/2019,24
10/28/2019,1617
10/29/2019,1962
10/30/2019,1734
10/31/2019,1650
11/1/2019,1786
11/2/2019,56
11/3/2019,16
11/4/2019,1954
11/5/2019,1766
11/6/2019,1952
11/7/2019,1773
11/8/2019,1667
11/9/2019,38
11/10/2019,14
11/11/2019,1625
11/12/2019,1920
11/13/2019,1655
11/14/2019,1583
11/15/2019,1702
11/16/2019,46
11/17/2019,25
11/18/2019,2065
11/19/2019,1882
11/20/2019,1680
11/21/2019,1669
11/22/2019,1616
11/23/2019,40
11/24/2019,24
11/25/2019,2073
11/26/2019,1720
11/27/2019,1511
11/28/2019,134
11/29/2019,501
11/30/2019,27
12/1/2019,41
12/2/2019,1743
12/3/2019,1739
12/4/2019,1756
12/5/2019,1831
12/6/2019,1540
12/7/2019,54
12/8/2019,21
12/9/2019,1916
12/10/2019,1791
12/11/2019,1603
12/12/2019,1439
12/13/2019,1469
12/14/2019,51
12/15/2019,39
12/16/2019,2017
12/17/2019,1756
12/18/2019,1516
12/19/2019,1586
12/20/2019,1549
12/21/2019,46
12/22/2019,26
12/23/2019,1719
12/24/2019,697
12/25/2019,7
12/26/2019,1003
12/27/2019,1384
12/28/2019,46
12/29/2019,13
12/30/2019,1888
12/31/2019,1278
